Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.12925,-0.17426,0.022868,0,0,0,2.2729,0.008209,-7.9354E-09,4.8809E-08,0.0037619,8.3137E-06,0.0099796,0,0,0,0,0,0,package://wl-4/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://wl-4/meshes/base_link.STL,,机架.STEP-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
lf0_Link,0.027346,0.016396,0.082293,0,0,0,0.19709,0.00043178,-3.3591E-11,3.5904E-16,0.00036101,-5.7511E-05,7.6715E-05,0,0,0,0,0,0,package://wl-4/meshes/lf0_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://wl-4/meshes/lf0_Link.STL,,大腿杆件.STEP-2,Origin_lf0_Joint,Axis_lf0_Joint,lf0_Joint,continuous,-0.048289,-0.23,0.045,-1.1943,0,-3.1416,base_link,1,0,0,0,0,0,0,,,,,,,,
lf1_Link,-0.041518,-0.065148,-0.1016,0,0,0,0.26751,0.001326,2.4795E-11,-2.2666E-11,0.00089536,-0.00050202,0.00043549,0,0,0,0,0,0,package://wl-4/meshes/lf1_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://wl-4/meshes/lf1_Link.STL,,小腿杆件.STEP-2,Origin_lf1_Joint,Axis_lf1_Joint,lf1_Joint,continuous,0,0.029484,0.14707,0.26553,0,3.1416,lf0_Link,1,0,0,0,0,0,0,,,,,,,,
l_wheel_Link,0.035519,6.9089E-05,2.4823E-05,0,0,0,1.2715,0.0068222,7.6507E-09,3.3124E-07,0.0035457,-1.2837E-06,0.0035434,0,0,0,0,0,0,package://wl-4/meshes/l_wheel_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://wl-4/meshes/l_wheel_Link.STL,,轮子.STEP-2,Origin_l_wheel_Joint,Axis_l_wheel_Joint,l_wheel_Joint,continuous,-0.046511,-0.12948,-0.20207,-0.10149,0,-3.1416,lf1_Link,1,0,0,0,0,0,0,,,,,,,,
rf0_Link,0.027346,0.016396,0.082293,0,0,0,0.19709,0.00043178,-3.3591E-11,3.6175E-16,0.00036101,-5.7511E-05,7.6715E-05,0,0,0,0,0,0,package://wl-4/meshes/rf0_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://wl-4/meshes/rf0_Link.STL,,大腿杆件.STEP-1,Origin_rf0_Joint,Axis_rf0_Joint,rf0_Joint,continuous,0.29829,-0.23,0.045,1.59,0,0,base_link,1,0,0,0,0,0,0,,,,,,,,
rf1_Link,-0.041518,-0.065148,-0.1016,0,0,0,0.26751,0.001326,2.4791E-11,-2.2667E-11,0.00089536,-0.00050202,0.00043549,0,0,0,0,0,0,package://wl-4/meshes/rf1_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://wl-4/meshes/rf1_Link.STL,,小腿杆件.STEP-1,Origin_rf1_Joint,Axis_rf1_Joint,rf1_Joint,continuous,0,0.029484,0.14707,1.2699,0,-3.1416,rf0_Link,1,0,0,0,0,0,0,,,,,,,,
r_wheel_Link,-5.9192E-05,4.3426E-05,0.029019,0,0,0,1.2715,0.0035429,-6.0418E-07,-2.7897E-07,0.0035462,-1.7875E-07,0.0068222,0,0,0,0,0,0,package://wl-4/meshes/r_wheel_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://wl-4/meshes/r_wheel_Link.STL,,轮子.STEP-1,坐标系4,基准轴4,r_wheel_Joint,continuous,-0.053011,-0.12948,-0.20207,1.5708,0.32015,-1.5708,rf1_Link,0,0,-1,0,0,0,0,,,,,,,,
